,candidate,cnpj,date,department,expense,partido,provider,sequential_id,value
974,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-05-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,1900.0
975,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2589.98
976,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
977,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,340.6
978,CLAUDINHO DE SOUZA,43.283.811/0130-57,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMERCIO E INDUSTRIA GRÁFICA LTDA.,250000004987.0,36.9
979,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-06-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,785.47
980,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-06-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,5000.0
981,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-06-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,1900.0
982,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1801.58
983,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
984,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-06-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,456.9
985,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-07-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,457.59
986,CLAUDINHO DE SOUZA,02.079.773/0001-30,2017-07-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,ENCADERNADORA IDEAL COMERCIAL LTDA,250000004987.0,5170.0
987,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-07-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,2040.0
988,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-07-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
989,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-07-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,1900.0
990,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2162.52
991,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
992,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-07-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,422.6
993,CLAUDINHO DE SOUZA,43.283.811/0139-95,2017-07-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,250000004987.0,267.8
994,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-08-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,693.54
995,CLAUDINHO DE SOUZA,02.079.773/0001-30,2017-08-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,ENCADERNADORA IDEAL COMERCIAL LTDA,250000004987.0,6700.0
996,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-08-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
997,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-08-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,1900.0
998,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1029.6
999,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
1000,CLAUDINHO DE SOUZA,10.685.892/0001-65,2017-08-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,M.J. DA SILVA CONSERTOS - ME,250000004987.0,380.0
1001,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-08-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,398.0
1002,CLAUDINHO DE SOUZA,11.281.004/0001-01,2017-08-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,PORTO SEGURO TELECOMUNICAÇÕES S.A.,250000004987.0,53.18
1003,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-09-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,712.1
1004,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-09-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,2400.0
1005,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-09-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
1006,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-09-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,1900.0
1007,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1895.01
1008,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
1009,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-09-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,927.0
1010,CLAUDINHO DE SOUZA,11.281.004/0001-01,2017-09-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,PORTO SEGURO TELECOMUNICAÇÕES S.A.,250000004987.0,109.9
1011,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-10-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,637.24
1012,CLAUDINHO DE SOUZA,02.079.773/0001-30,2017-10-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,ENCADERNADORA IDEAL COMERCIAL LTDA,250000004987.0,6900.0
1013,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-10-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
1014,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-10-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,5000.0
1015,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-10-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1831.56
1016,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-10-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
1017,CLAUDINHO DE SOUZA,43.283.811/0060-00,2017-10-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,250000004987.0,456.0
1018,CLAUDINHO DE SOUZA,96.409.172/0001-92,2017-10-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,HABILTECS DISTRIBUIÇÃO DE PEÇAS E SERVIÇOS LTDA.,250000004987.0,449.0
1019,CLAUDINHO DE SOUZA,02.558.157/0001-62,2017-10-01,GABINETE DE VEREADOR,TELEFONE FIXO,PSDB,TELEFONICA BRASIL S/A,250000004987.0,591.68
1020,CLAUDINHO DE SOUZA,11.281.004/0001-01,2017-10-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,PORTO SEGURO TELECOMUNICAÇÕES S.A.,250000004987.0,109.9
1021,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-11-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,398.04
1022,CLAUDINHO DE SOUZA,02.079.773/0001-30,2017-11-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,ENCADERNADORA IDEAL COMERCIAL LTDA,250000004987.0,7130.0
1023,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-11-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
1024,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-11-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,5000.0
1025,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-11-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1806.67
1026,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-11-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
1027,CLAUDINHO DE SOUZA,43.283.811/0139-95,2017-11-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,250000004987.0,71.7
1028,CLAUDINHO DE SOUZA,02.558.157/0001-62,2017-11-01,GABINETE DE VEREADOR,TELEFONE FIXO,PSDB,TELEFONICA BRASIL S/A,250000004987.0,580.37
1029,CLAUDINHO DE SOUZA,11.281.004/0001-01,2017-11-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,PORTO SEGURO TELECOMUNICAÇÕES S.A.,250000004987.0,109.9
1030,CLAUDINHO DE SOUZA,43.882.281/0001-66,2017-12-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,AUTO POSTO NOVO MORRO GRANDE LTDA,250000004987.0,483.51
1031,CLAUDINHO DE SOUZA,12.028.418/0001-96,2017-12-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,MAZZA FC TECNOLOGIA DA INFORMACAO LTDA-ME,250000004987.0,2000.0
1032,CLAUDINHO DE SOUZA,03.515.743/0001-92,2017-12-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,FERRARI & CRINITI INFORMÁTICA LTDA,250000004987.0,5000.0
1033,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-12-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,1849.35
1034,CLAUDINHO DE SOUZA,50.176.288/0001-28,2017-12-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004987.0,2101.17
1035,CLAUDINHO DE SOUZA,02.558.157/0001-62,2017-12-01,GABINETE DE VEREADOR,TELEFONE FIXO,PSDB,TELEFONICA BRASIL S/A,250000004987.0,583.22
1036,CLAUDINHO DE SOUZA,11.281.004/0001-01,2017-12-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,PORTO SEGURO TELECOMUNICAÇÕES S.A.,250000004987.0,109.9
1037,CONTE LOPES,02.297.445/0001-00,2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,581.39
1038,CONTE LOPES,11.672.161/0001-48,2017-01-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PP,ALEXANDRE LEOPOLDINO MORAES SERVIÇOS GRÁFICOS - ME,250000011011.0,3121.65
1039,CONTE LOPES,09.613.772/0001-73,2017-01-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1040,CONTE LOPES,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,3593.99
1041,CONTE LOPES,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2058.08
1042,CONTE LOPES,06.226.820/0001-82,2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,425.4
1043,CONTE LOPES,43.283.811/0022-84,2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,250000011011.0,429.0
1044,CONTE LOPES,09.613.772/0001-73,2017-02-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1045,CONTE LOPES,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,297.85
1046,CONTE LOPES,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1047,CONTE LOPES,02.558.157/0001-62,2017-02-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PP,TELEFONICA BRASIL S/A,250000011011.0,146.83
1048,CONTE LOPES,11.672.161/0001-48,2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PP,ALEXANDRE LEOPOLDINO MORAES SERVIÇOS GRÁFICOS - ME,250000011011.0,5004.55
1049,CONTE LOPES,09.613.772/0001-73,2017-03-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1050,CONTE LOPES,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2874.65
1051,CONTE LOPES,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1052,CONTE LOPES,02.558.157/0001-62,2017-03-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PP,TELEFONICA BRASIL S/A,250000011011.0,148.15
1053,CONTE LOPES,09.613.772/0001-73,2017-04-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1054,CONTE LOPES,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,5249.66
1055,CONTE LOPES,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1056,CONTE LOPES,06.226.820/0001-82,2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,256.4
1057,CONTE LOPES,43.283.811/0101-12,2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,KALUNGA COM. E IND. GRAFICA LTDA,250000011011.0,408.2
1058,CONTE LOPES,02.558.157/0001-62,2017-04-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PP,TELEFONICA BRASIL S/A,250000011011.0,149.37
1059,CONTE LOPES,02.297.445/0001-00,2017-05-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,421.51
1060,CONTE LOPES,11.672.161/0001-48,2017-05-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PP,ALEXANDRE LEOPOLDINO MORAES SERVIÇOS GRÁFICOS - ME,250000011011.0,5000.0
1061,CONTE LOPES,09.613.772/0001-73,2017-05-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1062,CONTE LOPES,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,3684.45
1063,CONTE LOPES,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1064,CONTE LOPES,06.226.820/0001-82,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,239.8
1065,CONTE LOPES,43.283.811/0101-12,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,KALUNGA COM. E IND. GRAFICA LTDA,250000011011.0,330.8
1066,CONTE LOPES,02.558.157/0001-62,2017-05-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PP,TELEFONICA BRASIL S/A,250000011011.0,150.2
1067,CONTE LOPES,02.297.445/0001-00,2017-06-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,632.7
1068,CONTE LOPES,09.613.772/0001-73,2017-06-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1069,CONTE LOPES,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,3231.77
1070,CONTE LOPES,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1071,CONTE LOPES,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,0.36
1072,CONTE LOPES,06.226.820/0001-82,2017-06-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,411.25
1073,CONTE LOPES,02.558.157/0001-62,2017-06-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PP,TELEFONICA BRASIL S/A,250000011011.0,145.65
1074,CONTE LOPES,02.558.157/0001-62,2017-06-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PP,TELEFONICA BRASIL S/A,250000011011.0,269.79
1075,CONTE LOPES,02.297.445/0001-00,2017-07-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,424.08
1076,CONTE LOPES,09.613.772/0001-73,2017-07-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1077,CONTE LOPES,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2881.22
1078,CONTE LOPES,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1079,CONTE LOPES,02.297.445/0001-00,2017-08-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,1315.26
1080,CONTE LOPES,09.613.772/0001-73,2017-08-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1081,CONTE LOPES,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,3188.36
1082,CONTE LOPES,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1083,CONTE LOPES,06.226.820/0001-82,2017-08-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,830.4
1084,CONTE LOPES,02.297.445/0001-00,2017-09-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,1130.76
1085,CONTE LOPES,11.672.161/0001-48,2017-09-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PP,ALEXANDRE LEOPOLDINO MORAES SERVIÇOS GRÁFICOS - ME,250000011011.0,4960.0
1086,CONTE LOPES,09.613.772/0001-73,2017-09-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PP,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,250000011011.0,430.0
1087,CONTE LOPES,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,3145.09
1088,CONTE LOPES,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PP,CAMARA MUNICIPAL DE SÃO PAULO,250000011011.0,2101.17
1089,CONTE LOPES,06.226.820/0001-82,2017-09-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,CENTER PAPEIS COMERCIAL LTDA.,250000011011.0,779.9
1090,CONTE LOPES,43.283.811/0101-12,2017-09-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PP,KALUNGA COM. E IND. GRAFICA LTDA,250000011011.0,222.8
1091,CONTE LOPES,02.297.445/0001-00,2017-10-01,GABINETE DE VEREADOR,COMBUSTIVEL,PP,AUTO POSTO MARANELLO II LTDA,250000011011.0,1069.04
